	RGA1	AT2G04100	AT2G10940	AGP9	MYB7	HIS1.3	AT2G19310	TET2	HB6	SVP	AT2G28400	CYP707A2	AT2G31110	AT2G33830	EXL7	AT2G36220	ABI5	AT2G36630	PIP2B	EXP3	AT2G37750	LTP2	PIP2E	AT2G39980	HSPRO2	EXPA8	CAMBP25	ORS1	AT2G41760	MAX2	AT2G42900	IBH1	SSI2	ARL	PIP1B	GBF3	RS31a	TSPO	AGP26	AT3G04010	AT3G08030	ATERDJ3A	AT3G11690	AT3G11930	AT3G12050	AT3G14200	AT3G15770	AT3G17100	AT3G17520	AT3G03870	HB.1	AT3G03270	ETR2	AT3G23170	AT3G26510	AFP3	AT3G43430	CYP71A25	AT3G50560	PIP2A	EP3	AT3G54510	AT3G57010	AT3G57400	ARGOS	AT3G62650	ATG8B	AT4G05070	CYTC.2	HKT1	RHA1B	AT4G12510	AT4G12520	FLA2	XTH15	AT4G14270	AT4G14930	IAGLU	RALFL33	EXLB1	TIP2;2	G3Pp4	HSA32	AT4G25260	WES1	AT4G27280	YUC8	XTH24	XTH19	AT4G32480	ABF3	AT4G34770	AT4G35720	AT4G38860	ST2B	ST2A	AT5G10770	AT5G12940	AT5G13500	AT5G02760	AT5G14690	FDH	AT5G17780	AT5G18030	AT5G01740	SIS	AT5G02230	DIP2	AT5G19120	AT5G23870	ESE3	EBF2	GID1C	NAC6	AT5G43450	AT5G44260	HAT2	AT5G47420	TDT	PAT1	AT5G49170	AT5G49700	AT5G50335	AT5G50360	OLEO3	AT5G51440	HB52	PBP1	COL5	AT5G57760	AT5G59845	AT5G60840	OBP4	AT5G66590	UGT72E2	AT1G06980	SR30	AT1G09250	AT1G10140	AT1G11210	ATBETAFRUCT4	AT1G02470	RTFL17	AT1G13990	AT1G14890	AT1G16850	AT1G21680	AT1G22190	AT1G22910	AT1G26800	ASG4	YUC3	ERS2	DYL1	GA2OX2	AT1G32520	AT1G36060	AT1G36940	AT1G44830	CXE5	AT1G53180	ZF14	AT1G61667	AT1G62770	ENODL8	MGL	AT1G65490	AT1G66080	AT1G66540	AT1G68620	NAP	NRT1.2	AT1G70000	AT1G70985	AT1G71110	AT1G73480	BEE3	UBC16	AT1G75490	NAC032	ECT8	AT1G79520	SAG20	RTFL12	AT4G36648	AT1G29465	SAUR29
AT5G10770	0.6977	0.066	0.7965	0.5595	1.2308	1.1913	0.9741	1.9021	0.9741	-0.862	-0.4276	0.5003	4.291	0.0462	3.1064	0.0067	-0.1315	0.4411	1.1321	-0.5461	0.7372	-0.5461	0.0462	1.0136	0.3819	0.4213	0.599	0.4213	0.3029	0.3621	-0.4868	1.5664	0.1252	1.5467	1.0926	-0.2499	-1.7701	0.1055	-0.1117	0.4213	-0.6843	0.4213	1.6257	2.0205	-0.2104	-0.1315	-0.3092	-0.2302	0.1252	1.3493	2.4549	1.1321	0.8952	0.2437	2.1192	-1.1581	-0.6843	0.8754	0.678	0.6977	0.5003	0.8557	0.7767	1.6257	1.1518	-0.3486	-0.013	-0.862	0.6188	0.8162	0.7965	0.757	0.3621	1.4085	0.8162	-0.2104	0.2634	0.678	0.6977	2.139	2.139	-0.0722	-0.625	0.066	0.8952	0.0857	0.8952	1.8034	1.1913	0.1449	-0.092	0.3819	-0.3092	-0.1117	0.9741	0.4806	0	0.1449	1.1913	-0.092	-0.0525	2.1785	0.3226	-1.0791	0.2042	-0.3092	1.8823	-0.5658	-0.5461	0.7767	0.7767	1.0926	0.599	-0.2894	-0.0525	-0.0722	1.29	0.3226	1.1913	2.672	-0.783	0.2437	-0.9014	-0.4079	0.8754	-0.0525	0.2239	-0.013	0.066	-0.3092	0.7175	-0.5461	-0.8422	0.7175	0.5003	-0.0722	0.1844	-0.3092	1.7046	0.1252	-0.4079	0.5595	0.2634	-0.5263	0.7965	-0.4276	-0.2302	0.678	1.2703	0.7965	-0.3486	-0.013	0.3621	0.9741	0.2634	-0.1315	0.3424	0.9347	-0.2894	1.7244	0.5003	0.3226	1.3887	-0.171	0.1252	-0.3486	0.4806	0.1844	-0.1315	1.2703	0.7175	2.1982	1.6652	2.3562	0.7175	-1.4345	-0.0722	1.1123	-0.5066	-0.0722	0.4411	-0.3289	1.1716	0.757	-0.1512	-0.9804	-0.7632
AT5G12940	0.8162	0.5398	1.0136	3.2841	-0.3486	0.4608	-1.2371	2.1192	0.3029	-1.3358	1.8034	-0.5856	-0.2302	-0.1512	0.4411	0.6188	0.8162	-0.6645	0.8359	1.9021	-1.0989	0.7965	0.7767	0.5398	1.369	2.8497	0.7372	-0.0722	1.7046	-0.3289	1.7441	0.2634	-0.4868	1.0729	0.8162	0.6385	-0.0722	0.4016	0.8557	-0.1512	6.2653	-0.7632	-0.9014	-0.8027	0.1055	-0.4079	0.678	1.9021	-0.0525	0.0265	1.0729	-0.1117	0.066	1.2505	-1.0791	1.5664	0.8557	-0.0328	-0.3486	-0.0722	-0.4474	0.3819	0.9939	-0.7632	1.7836	0.3621	-1.2766	-0.3486	0.7175	1.1913	0.5398	0.5793	1.7639	1.4875	0.5201	0.3621	-1.1186	0.3226	1.7244	0.8162	0.4411	-0.6843	-1.1384	2.7708	0.6188	2.0403	1.5664	-0.092	5.4953	0.3424	1.8428	1.8626	2.5536	-0.092	0.2239	0.2042	0.1449	0	0.5398	0.3819	2.3562	0.0462	1.0926	0.4608	0.2437	0.7965	1.1913	0.3621	0.2042	-1.5332	2.2772	0.066	-1.6122	-1.3358	-0.171	1.8428	-0.013	0.599	0.3819	3.2841	2.5141	-1.0594	2.5338	-0.5658	1.3098	-0.7238	0.4411	2.909	0.1844	0.9544	0.3029	1.1913	0.4016	3.2249	0.9741	0.9544	-0.8422	3.7382	-0.8225	0.4016	1.8626	-0.4474	-1.3555	-0.4671	-0.783	1.1123	0.9347	1.4677	-0.1512	-0.1907	0.0067	2.3759	1.0334	-0.2499	1.1913	-0.0722	0.3226	1.527	2.9287	0.0857	1.8626	-0.5856	-0.3289	2.6326	3.7974	0.1844	0.4016	0.4213	-0.2697	0.0462	-0.2894	0.1252	0.4608	0.3819	0.4213	0.9939	0.1252	1.8034	0.7767	1.0531	0.7965	0.8952	-0.2104	-0.2499	-0.2499	0.4608	1.29
AT5G13500	-0.625	1.7836	1.1123	-0.013	0.7372	-0.5856	-0.5856	-0.704	0.1252	-1.7504	-0.4276	1.9218	1.6454	-0.6645	-0.8225	0.7965	0.3029	1.3295	-0.0328	-0.092	-0.6448	-0.4276	0.757	1.6059	-0.8225	-1.1778	0.1252	1.1913	0.4213	0.757	0.066	-0.013	1.0136	2.83	-0.3289	0.3029	-0.7632	-0.8027	-0.092	0.8754	0.3621	0.757	1.2308	-1.2963	-0.5658	0.678	-1.2568	-0.3684	-1.1186	-0.7435	1.4875	-0.6053	2.7708	-0.1117	-0.092	0.4411	0.5398	-0.5658	0.6188	-0.6053	1.5467	0.7965	-0.6843	-0.2499	2.7708	-0.4276	-0.9804	-1.6714	1.527	-0.2697	-0.9409	0.4016	0.5201	1.4282	1.1716	-1.2568	-0.013	0.4806	0.678	-0.3289	-0.2499	0.599	-1.553	1.4677	0.0857	0.2042	0.1647	0.6583	1.8626	-0.704	0.3226	1.1716	-0.2499	-0.3881	0.6977	-0.4276	1.1913	0.5398	0	0.6583	-1.0002	0.5003	2.2377	-0.7435	0.2634	-0.4079	0.0857	-0.5066	0.066	1.6849	-0.2104	3.0077	0.9544	1.5467	0.599	0.9544	-0.0525	3.1459	-0.1907	1.3887	0.4213	1.3887	0.7372	-1.0002	-0.4276	0.1055	-0.3684	-0.2104	-0.5263	1.7441	-1.0594	0.6188	0.3029	-1.0594	-0.1315	-0.013	1.2505	0.4016	0.7175	0.5595	0.2042	-0.4868	0.2831	0.9149	0.0067	0.0857	-0.783	0.5595	0.7372	-1.0791	-0.2697	0.4016	1.527	-1.2371	-0.3289	-0.7238	1.6257	-0.092	0.6977	1.0531	0.0857	0.1449	1.0729	-0.3092	1.6257	0.2831	-0.171	-0.171	-0.2894	-0.625	-0.704	0.6188	0.4016	2.0205	1.1716	-0.1907	1.7836	0.9544	0.2831	-0.3881	0.3819	-1.5332	0.8754	0.0462	0.6188	0.2042	-0.7632
AT5G02760	-0.092	-1.6517	1.6059	0.3424	-0.092	-0.171	0.3029	-1.4543	0.9544	-0.2894	0.599	0.9939	0.4016	-1.2766	-1.6517	2.0008	-0.8422	0.599	-0.5461	1.6849	0.0067	0.1252	0.1449	2.6523	-0.6645	3.3631	-0.3881	2.4746	0.1252	1.6652	0.3029	2.672	0.9741	5.6927	0.2634	-1.3753	-0.8225	-1.1384	2.1587	-0.862	1.1321	-0.3684	-0.2499	0.6977	-0.625	-0.9607	0.5201	2.5141	-0.783	0.5793	1.8626	-1.3555	4.133	-0.3289	-0.0722	-0.9212	0.6583	-0.5461	0.7767	-1.4345	-1.2371	0.4016	-1.1186	0.066	6.4035	0.3226	-0.3486	-0.862	-0.7435	0.0462	-0.9607	-0.092	0.2239	-0.2104	1.4677	-0.5066	3.1064	3.2249	0.2437	0.2042	-0.4276	-1.2568	0.3621	3.6	3.6197	0.599	3.8764	-0.8027	0.7372	-2.0465	-1.4543	6.6404	1.3098	4.7846	4.903	2.3364	-0.092	0.3819	0.6583	0	-0.7435	1.9021	3.1064	3.9356	2.7708	0.4411	-0.862	-1.3161	-1.0989	2.8892	6.8773	6.7786	1.7244	4.3897	0.6583	5.1597	6.0679	-0.2302	-0.6448	2.7313	4.8833	3.3828	7.2919	-0.4868	-0.9212	-0.4474	2.8102	0.9741	0.3424	11.4182	-0.0525	0.9544	-0.4079	2.0798	-0.8225	-0.3881	-0.4868	1.6454	1.1321	1.2308	-0.9607	0.757	2.4154	0.0462	1.1321	-0.3486	-0.3684	-0.4474	0.5003	-0.9804	-0.625	0.678	5.1597	-0.8027	-1.3358	0.1252	0.757	2.4549	3.1064	2.1587	1.6257	0.3226	0.2634	1.2111	1.527	1.0334	-0.1315	-0.7435	-0.5461	0.0265	1.3493	-0.013	-0.6053	0.6977	-0.9014	-0.1907	8.437	-0.8422	3.8764	-1.7899	-1.553	-1.1778	0.0067	0.4411	-0.7435	2.9485	3.2841
AT5G14690	0.8162	0.9741	-0.2499	0.4016	0.0067	-1.0199	-0.625	1.2703	0.3029	1.1913	0.1844	-0.704	-1.2173	-0.013	0.9149	0.5201	-0.1512	-0.8422	0.8952	2.9287	0.2437	1.3295	0.9544	-0.4474	-0.3289	1.5072	-0.092	-0.0722	1.0136	0.3226	2.0995	2.139	-0.6053	-0.5658	-1.1186	-0.1315	0.5003	0.0265	1.0926	-0.092	0.7372	-0.9804	1.0729	-0.1315	0.3819	-0.0722	1.0136	1.4677	0.1647	-0.5658	0.6385	0.9741	0.6188	0.1055	-0.3486	1.1518	-0.2302	0.3226	0.0265	-0.5461	-1.1186	0.9347	1.2505	-0.013	0.1252	2.1982	-0.625	0.4608	-0.7238	-0.6645	1.1123	0.6583	1.4085	-0.4868	-0.3486	0.2042	0.1844	0.6977	0.7965	0.2239	0.1055	-1.1581	0.3621	1.0729	0.7965	0.0067	1.0926	-0.625	0.7767	0.4213	1.4085	1.29	2.751	0.0857	0.6583	1.2505	-0.0525	2.3562	-1.0002	-0.7435	0	-0.8225	-0.1117	0.5595	0.5793	0.1449	0.4411	0.1449	0.5201	-0.6645	-0.0722	-0.3486	-0.6053	-0.9804	-1.2963	0.6188	0.4213	-0.1315	-0.1907	0.1252	1.6257	0.6385	0.5793	0.2437	1.2111	0.2831	1.5072	0.3424	0.1055	-0.5461	-0.171	1.5072	1.2308	1.9613	2.3956	3.1656	-0.7435	2.1192	-0.2302	-1.0594	0.3029	-0.6053	-0.2104	0.8557	-0.6645	-0.171	-0.2697	1.5072	0.0857	1.1913	-1.1186	3.4223	0.6385	-0.2499	-0.8422	0.0265	3.2643	0.6977	0.4806	0.8162	3.5802	-0.013	-0.783	3.3433	0.7767	-0.3684	-0.6053	0.3819	0.3819	-0.2104	0.1449	0.2831	1.6849	-0.4276	0.1055	-0.3486	0.2239	0.0462	-0.0328	0.0462	-0.8225	0.757	0.1449	-0.6448	-0.2697	0.5201	0.7175
FDH	0.4016	-1.2963	0.4016	-0.2302	0.8557	1.6454	1.1913	-0.2104	0.8557	0.0462	1.527	0.7372	0.3226	1.981	-1.0791	1.7639	0.2831	1.1913	0.757	1.9416	0.6583	1.3493	1.6257	4.133	0.9741	1.1518	0.1844	1.7836	1.2505	1.0729	0.3424	2.3562	0.8359	2.0995	1.6257	0.757	-0.0722	1.8626	1.29	-0.0525	1.0531	-0.5856	1.2308	4.3502	0.5595	-0.8422	0.5595	0.757	0.757	0.9939	2.0008	-0.0722	2.7313	-0.1512	1.1321	0.6977	0.0265	0.1252	-0.4079	0.3819	-1.9281	0.599	0.2437	1.0334	1.3887	2.1192	2.1587	0.3226	0.066	0.678	0.8359	0.0462	0.5398	-0.8027	0.7175	-0.4079	4.0541	3.1656	0.5201	1.7244	0.8754	2.2969	1.0334	0.5003	0.6977	0.3621	-0.704	1.29	0.9149	0.6583	0.6188	2.0008	0.5595	-0.2894	1.5467	2.1587	2.1785	0.0462	0.5003	1.9021	-0.8225	0	0.9347	-0.6843	0.9347	2.2377	0.4016	0.1055	0.5398	2.2574	2.1982	3.7184	1.3098	4.8833	2.1587	3.1261	0.0462	-1.5332	4.3107	2.3364	0.6583	1.9416	2.8892	0.8359	1.0531	-0.2894	1.6849	-0.3289	0.5003	2.672	0.2634	0.6385	0.757	-0.625	-0.3289	0.2239	0.7372	-0.5856	2.0205	1.7244	0.1252	1.7836	0.1647	2.5931	1.1321	0.7965	3.4223	1.3098	0.8557	-0.0328	0.5003	-0.7238	3.9159	1.7244	-1.0002	-0.2499	-0.0525	0.8754	1.3887	2.3167	1.5072	-0.013	-0.013	1.1321	0.8952	3.8369	-1.5332	0.1252	-0.9409	0.8359	3.8369	-0.2894	-0.7238	-0.3092	0.2634	1.369	2.8497	-0.3486	2.3956	1.369	0.678	0.5003	0.1844	0.599	0.8359	0.5003	-0.625
AT5G17780	-0.862	0.599	-0.013	-1.1186	2.1192	-1.8294	0.0857	0.3819	-0.9409	-0.9607	-0.092	4.0935	-0.5461	-2.2045	-1.2766	0.678	0.8952	2.7905	-0.9409	1.4085	-0.4276	0.4016	-0.7435	3.2643	-0.5066	-0.0722	0.3226	3.7777	-1.1186	1.7441	1.2308	0.0857	0.2831	4.1923	-0.625	1.5862	-1.2766	-0.0525	-0.9804	0.3226	0.8754	1.1123	0.4016	-1.0396	0.1647	0.7965	-0.1315	-0.9804	-0.2302	-0.7435	1.1123	0.1055	4.1923	0.7767	-0.2499	1.0531	-0.2894	0.0462	1.5862	-1.474	0.6583	0.6977	0.7767	0.7965	4.3305	-0.9804	-0.625	-1.6517	2.0798	0.1647	-0.1315	-0.5263	-0.4276	0.066	0.066	-1.3358	1.8428	3.2446	-0.2499	-0.625	-0.8027	0.4213	0.0067	0.3226	-0.2894	0.4213	-0.704	-1.0199	0.8162	-0.7435	0.0462	1.3493	1.8231	0.3226	1.4085	0.1449	0.3226	1.0926	2.2377	3.1064	-0.1117	0.9347	0	-0.5263	0.9347	0.4411	-1.0594	0.5201	-1.1581	0.066	0.9544	4.1725	0.4411	2.9682	1.981	2.139	-0.783	0.7372	0.0265	3.0867	1.8626	3.0472	2.4944	-0.092	0.2634	0.6977	2.3759	0.9939	-1.0594	4.3897	0.5595	0.5201	-1.1976	-0.8225	-0.3092	-0.0328	-0.4474	0.2437	0.1647	0.7767	0.1252	0.1449	0.4016	0.1647	0.2831	-0.5461	-1.2371	-0.3881	-0.5066	-1.0396	1.8626	0.3819	5.3768	-1.6912	-0.6843	0.6385	0.678	-0.8422	2.5141	3.8961	1.3887	0.9544	-0.3881	0.9347	-0.9212	0.9741	-1.5727	0.1449	3.1656	0.6188	0.4213	-0.5658	1.7836	1.4085	0.5201	0.6188	3.9159	-0.013	2.3759	0.4806	2.0205	0.5003	-0.8225	0.7372	-0.0525	0.4213	-0.5066
AT5G18030	1.4282	-0.3289	1.369	0.0857	-0.2894	0.2831	-0.2104	0.2042	1.9416	0.4608	0.3819	-1.0791	0.066	-1.2963	-0.013	0.1844	-0.8027	-0.3486	0.8952	1.9613	0.3424	-0.0328	1.4282	-1.1778	-1.0199	4.3305	-0.9014	-0.5461	1.3295	0.3621	1.6454	2.5141	0.0857	-0.862	1.4875	0.1252	-0.0328	-0.7435	2.0205	-0.5461	0.8754	-0.1315	0.0265	-0.4474	-0.5263	0.1055	1.0729	2.1982	-0.7435	1.6059	0.1055	-0.6843	-0.704	-1.5135	1.1518	1.29	0.4016	0.4016	1.1321	0.8162	-0.6448	0.9741	-1.8491	-0.5066	0.7372	1.1716	0.4016	0.1844	-0.0525	0.4213	0.1055	0.8952	1.1321	-0.2697	-0.092	1.1716	-0.3092	0.3424	-0.2104	-0.3881	0.8754	-0.2499	-0.2104	1.1716	1.1123	-1.0989	2.7905	-0.3684	0.2831	-1.0594	-0.2894	3.2841	0.7965	9.4044	1.6059	0.5793	-1.0791	0.4608	-0.7435	3.9356	0.5595	-0.6843	-0.5263	0	0.3819	0.4806	0.678	-0.5263	-0.2302	0.1844	2.1785	-0.2104	0.2239	-0.625	-0.2302	0.9741	5.1794	0.6188	-0.783	1.4282	1.5664	0.0067	2.3759	-0.3486	0.3621	-0.3486	0.3819	-0.3881	1.527	1.7441	0.0265	1.0729	1.4085	4.824	-0.2499	2.1587	-0.2104	2.3562	0.4608	-0.3092	0.2239	0.0067	4.1923	0.0265	0.2239	0.3424	0.066	-1.1384	0.7372	-0.1315	0.599	1.5862	-1.1581	-0.4671	-1.0989	0.7965	-0.1117	1.0136	-0.9212	-0.9212	-0.2894	-0.9409	-0.3684	0.4213	1.3887	0.6977	1.0531	-0.0525	0.6385	-0.0328	-0.2104	-0.013	-0.2894	1.2111	-0.092	0.7965	1.4875	-0.2499	0.1844	-1.0594	-0.6448	-0.0328	-0.3486	-1.4937	0.1647	4.3305	10.9444
AT5G01740	0.8162	-0.625	0.2042	-0.6843	0.9939	0.4411	0.4411	1.5862	0.2239	0.1252	0.5793	0.3819	1.6454	0.0462	-0.092	0.1844	0.4213	0.757	0.9347	-0.4276	1.2111	1.2703	1.7244	2.0798	-0.4868	-1.6122	0.8754	2.0995	-0.3486	0.9939	0.5201	1.0334	0.9544	1.7441	0.7965	0.4411	-0.3289	0.3029	1.3098	0.9939	-0.6448	0.0857	2.0403	0.4608	0.599	-0.1512	0.5201	0.3819	0.599	0.2437	1.4282	0.2437	2.0798	0.3621	0.066	-0.4276	-0.0328	0.0067	2.4944	0.3819	-0.3486	0.6385	0.1055	1.3295	1.7639	2.0995	0.3621	0.0462	0.1647	0.599	-1.8491	0.2042	0.599	1.5467	3.6592	-0.6843	1.0729	1.448	1.6257	0.4608	0.1449	1.6454	1.1913	1.3295	2.8102	0.5201	2.6128	3.0472	0.9939	0.599	1.369	2.3759	1.8034	-0.3881	2.6918	0.0462	0.2042	0.2437	0.2634	2.7708	0.5793	0.9347	0.9347	0.3819	0	-1.4148	-0.4671	-0.3881	-0.0328	0.8162	0.0067	2.3956	1.29	0.6188	0.9939	3.2446	0.0265	0.1647	1.6652	0.4213	0.2831	2.3956	1.3098	-0.783	-0.0525	0.5201	3.5802	-1.0199	1.7836	3.4618	0.4016	0.9347	1.7046	0.3226	0.0067	1.3887	0.4411	1.1716	0.1449	0.2437	-0.2697	0.8952	1.5072	-0.2302	0.9741	0.1055	-0.8817	1.0334	0.678	-0.4079	0.9149	-0.4474	2.1192	-0.3092	-1.0396	1.2505	0.9939	1.981	2.2574	1.5862	0.6977	-0.2302	2.6523	0.9939	0.1055	0.3029	0.8952	0.7372	0.8754	0.2634	-0.013	-0.625	-0.1315	2.0798	-0.3289	-1.4148	4.5476	1.2111	0.5201	0.066	0.6385	-0.4474	0.7372	-0.2302	0.4608	0.5201	-0.5658
SIS	-0.1512	-0.1117	-1.1778	-0.1907	1.1518	2.3956	-0.7435	0.7767	0.6188	-0.5658	3.3433	0.2437	-0.9409	1.5862	-0.6448	0.0857	1.1913	0.7965	1.0926	1.4282	1.4875	1.29	-0.3486	2.0798	2.672	2.0403	0.3226	0.1055	0.8754	1.1518	0.9939	1.0334	-1.0396	2.0403	1.2505	3.1854	-0.2499	2.8695	-0.6448	0.757	0.4411	-0.5461	-0.0525	1.6454	-0.2894	-0.8817	2.3956	1.4677	1.4085	3.8961	0.2239	-0.9804	0.3029	-0.5658	2.6128	3.0274	1.2505	-0.6448	-1.1186	0.2437	-0.3289	1.4282	0.4806	-0.5658	0.6977	2.5733	1.527	3.0472	0.1647	1.0334	2.4351	0.3226	0.3029	-3.547	-1.1778	2.218	3.1656	1.7244	-0.7435	-0.6843	1.369	0.1647	1.0729	1.2111	2.3167	-0.5461	1.1123	-1.9083	0.5595	1.4677	2.1785	0.9347	2.3167	0.1844	0.4608	1.8626	-0.3092	0.7965	-0.4079	0.4411	0.1449	2.2377	0.4411	0.4806	-1.4148	0	-0.1907	1.29	2.2969	-0.8817	2.9287	2.3167	2.0798	4.4489	2.7905	3.0274	1.7244	-1.2568	1.8626	1.0531	1.5467	1.9218	1.7441	2.8695	0.8359	-0.3684	1.7441	0.5003	2.8695	-0.0525	0.1449	0.4213	1.5467	0.9741	0.4411	-1.1976	0.066	0.2437	2.909	0.8359	-0.9014	0.757	1.3098	1.8231	0.8754	0.9347	2.3364	2.751	-0.4868	3.3828	0.9347	2.2772	2.3167	2.6326	-0.8422	0.4411	1.0531	-0.2894	-0.013	-0.5658	2.139	1.0729	-2.5401	0.6583	-0.862	2.7313	0.599	-0.6053	-0.2302	1.1716	5.6533	0.1449	0.5595	-1.0396	-1.2963	3.3236	1.6454	1.2505	3.3433	2.8892	1.6849	1.1716	1.9416	0.1449	0.6385	1.1123	0.3819
AT5G02230	0.3621	0.9347	-0.0328	-0.171	0.4411	0.7767	0.4016	0.6977	0.599	-0.1512	1.8626	1.369	0.9544	-0.7435	0.0067	0.3621	0.1844	0.5201	0.5793	-0.2302	-0.2302	0.0265	-0.0328	-0.171	0.6977	0.678	0.678	-0.3684	0.3029	-0.4868	0.8359	0.2437	0.9347	0.1449	1.6257	1.1716	1.7046	0.2634	-0.3881	0.3424	-0.2697	-0.1117	1.0136	-0.4474	0.0857	1.9218	-0.0525	-0.013	0.2437	0.9347	0.5003	0.4608	-1.0594	0.7767	0.3621	0.2042	1.0334	1.2111	-0.9607	1.3295	-0.5856	-0.2894	0.2042	1.4875	-0.1117	-0.0328	0.1449	0.5201	0.8754	-0.5658	1.527	0.0462	0.5398	1.0531	0.4213	1.4875	-0.1315	1.0729	2.9682	1.6454	1.4085	0.2831	0.5595	-1.0002	-0.4276	0.6977	0.3226	2.5536	1.0136	2.0798	2.0008	-0.862	-1.2173	1.4085	-1.0396	-0.1117	1.8823	1.1913	0.0857	-0.862	0.4411	0.4016	-1.0594	0.678	-0.4671	-0.1907	0	0.4806	-0.0328	0.0857	0.4016	-0.2302	-0.4474	0.2831	-0.2499	-0.3486	1.448	0.0462	0.757	0.4411	-1.9083	0.2634	-0.9212	0.3621	0.3029	0.2239	-1.2963	0.6977	-0.1315	-1.1976	1.2111	-0.1315	-0.5263	1.1518	-0.4868	0.4806	1.8626	0.3621	0.066	-1.1778	1.4085	-0.4276	0.7175	1.0531	-0.3092	0.2634	-0.4671	0.7372	-0.171	0.8557	0.6583	-0.5066	-0.7238	0.2437	1.0136	2.5931	-0.171	0.4213	-0.0328	0.0462	1.6059	-1.0791	0.2042	-0.4868	-0.2104	0.4016	1.3493	0.4213	0.1449	1.6454	1.8231	1.9416	1.6849	2.2377	-0.3881	1.0729	-1.4148	0.3621	0.1449	0.6977	2.0205	2.3562	1.8034	-0.2894	0.4608	0.5398	0.2437
DIP2	-1.2766	0.757	-0.3289	-0.6645	4.7056	1.2505	1.1123	-0.1117	1.981	0.3424	4.291	1.0334	-0.9409	0.3029	-0.9607	2.8892	0.9347	1.1913	0.2437	-0.5263	0.599	-0.2104	-0.1512	0.0067	1.7046	-0.8027	2.4351	-0.092	-0.2302	0.3226	-0.9607	-0.2302	1.1913	0.2437	0.1647	2.9287	-0.0525	3.0077	-0.3289	1.1321	-0.5658	1.9021	0.4806	-0.704	1.3887	3.6789	0.5201	-0.5263	1.6849	1.1716	-0.0328	0.599	-0.4671	2.3167	-0.4276	3.2841	-0.5658	0.0462	-0.013	-0.4079	-0.171	-0.9014	0.757	0.1449	-0.625	0.0067	-0.4079	1.1123	0.9149	-0.9409	-0.5658	0.2437	-0.2697	-2.0268	-0.9409	2.1587	-0.4671	0.6385	-1.1186	-0.171	-0.013	1.448	0.9741	-0.6053	0.3819	0.9544	-1.1976	-0.8027	-0.3092	-0.5856	1.8231	-1.3358	0.1449	-0.9804	-0.625	0.6977	-0.5658	0.3621	-0.5066	-1.3161	0.1449	0.1055	0.5201	-0.5263	-0.3881	1.29	0.4806	0	-1.8096	-1.3555	-1.7307	-1.0989	0.678	0.066	0.5595	-0.6843	-0.7238	0.5595	-0.1512	0.0265	-0.5658	-0.4474	0.3226	4.1528	-0.0722	1.0729	-0.2499	1.981	0.4016	-0.3881	-0.0722	0.1844	1.0531	-1.1384	1.1913	0.4016	0.6188	-0.5856	-0.2697	2.3956	-1.0791	1.0729	-0.3092	0.2042	-0.6843	1.369	1.1123	2.0403	-1.6714	1.7244	2.139	0.066	0.1252	0.5595	-0.2697	-0.013	-0.3881	-2.3427	0.0462	-0.2302	0.4411	1.1716	-0.7238	0.0462	-0.9607	0.3226	0.0857	2.4746	0.1844	1.6849	1.369	-1.7899	-0.3289	-0.3486	0.599	2.3956	-0.9409	0.1252	0.3621	3.6	1.1716	1.8034	-0.783	2.3956	0.4213	0.2437	-0.8422
AT5G19120	1.1123	0.0067	-0.1907	-0.1512	-1.0396	-0.092	-0.5658	-0.1907	-1.8096	-0.0328	0.5201	-1.0791	-0.5066	3.0274	0.2634	-1.0199	-0.8027	-1.4543	0.5398	0.9741	0.7965	0.1647	0.1449	1.6257	6.0086	-0.013	0.1844	0.0462	0.2634	3.9948	1.6059	0.5201	-1.5925	1.1913	0.6188	-0.1512	0.6583	0.0857	-0.1907	-0.3486	0.3819	-0.5658	1.3887	1.9416	0.066	-0.7435	2.218	0.7175	-0.2697	0.1055	-0.6053	-0.0328	0.4016	-0.8027	6.6601	0.1055	2.6523	-0.4276	0.1844	1.1716	-0.0525	-0.6645	-0.7435	0.0067	-0.3289	1.1123	0.6583	6.0679	-1.2173	0.2634	3.6197	-0.0328	-0.0328	-0.5066	1.2111	1.8626	0.5201	0.0265	0.1647	-0.4079	0.6977	-1.1976	0.1055	0.8359	1.1518	0.7372	0.3029	1.1518	0.1844	9.2465	0.6977	1.2308	-0.4868	-0.3881	-0.6645	-0.2697	-0.5461	0.2042	0.066	-1.0989	0.5201	0.5398	-1.1581	-0.2302	-0.0328	2.2969	-0.0328	-1.8096	0	-0.0525	1.7046	1.3098	2.1587	0.9544	-0.171	3.0077	0.8557	0.2634	0.2831	-0.1315	0.599	1.1518	0.2042	-0.5658	-0.3289	0.1844	0.066	-0.092	1.7836	-1.2371	0.1449	-0.9607	0.1844	0.678	-0.1117	-1.1581	0.7372	0.5201	4.982	-0.3684	1.7441	0.0265	3.4618	1.0926	3.1656	-0.4671	2.8892	1.3493	0.3621	5.1399	-1.8096	0.3621	0.3424	4.0343	0.7965	-1.1186	0.4016	0.6583	-0.9607	-0.862	0.7372	0.6583	-0.9607	0.3621	-0.9212	1.9021	0.1449	-0.5263	-0.1315	1.4875	2.1587	0.9149	0.3424	-0.9014	-1.2371	0.8557	1.2505	-1.3358	3.0669	-0.1512	-1.2173	-0.0328	3.4618	1.0926	-0.3881	-0.2104	0.4608
